Country Name,Country Code,Series Name,Series Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.13559384981397,1.43570437048699,2.35609779179185,3.15360920291972,2.98438913621969,2.91080959861384,2.80833730805469,2.53571991833963,3.11995924146907
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,370,370,380,490,520,520,530,560,590
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.84,4.932,5.039,5.145,5.238,5.327,5.433,5.542,5.652
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.37077621707188,4.35612777763319,4.37770795171109,4.43914504829198,4.47933729391896,4.49396889834487,4.51402627677695,4.54351582672391,4.58644314291051
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,5.155,5.159,14.666,16.473,18.304,19.808,21.24,20.156,19.113
Albania,ALB,Population growth (annual %),SP.POP.GROW,-1.14841763771287,-1.21579032012532,-0.926918061639398,-0.574206959244013,-0.426007367032238,-0.246732042281782,-0.0919722937442495,-0.159880412127734,-0.291205786840436
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7680,6820,6150,5320,5300,4910,4340,4370,4410
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.348,1.355,1.365,1.371,1.395,1.415,1.486,1.555,1.631
Albania,ALB,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.4568816121017,23.5463721431316,22.66109434287,21.8088549993339,20.9507451314148,20.1296122417582,19.449141506017,18.8689055925076,18.3209412318276
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,53.207,53.183,51.887,50.616,52.93,51.407,49.736,49.888,47.116
