"country","year","iso3c","population_growth","gni_per_capita","fertility_rate","old_age_dependency","female_lfpr","life_expectancy_at_birth_2023","SIGI_2023","new_mothers_cash_benefit_perc_2015-2023","education_female","financial_inclusion_female","unpaid_work_share_female","labour_part_female","mat_leave_14weeks","mat_leave_length","pat_leave_available","pat_leave_length","parental_leave"
"Andorra",2015,"AND",-2.14248382559065,NA,1.223,18.0134777655487,NA,84.0406,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",2016,"AND",0.00969831319383994,NA,1.184,18.1075351705531,NA,84.0406,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",2017,"AND",2.16803975005007,NA,1.129,18.3200361282553,NA,84.0406,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",2018,"AND",1.87885332176802,NA,1.053,18.6557962346099,NA,84.0406,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",2019,"AND",1.73050296926809,46450,1.045,19.0810488892097,NA,84.0406,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",2020,"AND",1.17775354895761,42450,1.028,19.6411355115158,NA,84.0406,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",2021,"AND",1.26362889534188,44720,1.058,20.1745877788555,NA,84.0406,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",2022,"AND",1.69676808598242,47590,1.071,20.6826613043026,NA,84.0406,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",2023,"AND",1.43374756867515,47920,1.082,21.3162124269056,NA,84.0406,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda",2015,"ATG",0.722892009464778,14550,1.567,11.4676070146587,NA,77.5976,NA,37,NA,NA,NA,NA,0,91,0,0,"No"
"Antigua and Barbuda",2016,"ATG",0.624381829779871,15080,1.458,11.9092775748836,NA,77.5976,NA,37,NA,NA,NA,NA,0,91,0,0,"No"
"Antigua and Barbuda",2017,"ATG",0.553103046635761,15860,1.485,12.3931557396192,NA,77.5976,NA,37,NA,NA,NA,NA,0,91,0,0,"No"
"Antigua and Barbuda",2018,"ATG",0.504979187034594,17460,1.371,12.8403886619631,NA,77.5976,NA,37,NA,NA,NA,NA,0,91,0,0,"No"
"Antigua and Barbuda",2019,"ATG",0.480553889847623,18250,1.468,13.3198928868232,NA,77.5976,NA,37,NA,NA,NA,NA,0,91,0,0,"No"
"Antigua and Barbuda",2020,"ATG",0.526173366134419,15390,1.569,13.8858658164595,NA,77.5976,NA,37,NA,NA,NA,NA,0,91,0,0,"No"
"Antigua and Barbuda",2021,"ATG",0.546161676855974,16680,1.58,14.5030937285158,NA,77.5976,NA,37,NA,NA,NA,NA,0,91,0,0,"No"
"Antigua and Barbuda",2022,"ATG",0.530270318994476,18850,1.58,15.1761228594064,NA,77.5976,NA,37,NA,NA,NA,NA,0,91,0,0,"No"
"Antigua and Barbuda",2023,"ATG",0.511400156215609,19880,1.578,15.9321879414848,NA,77.5976,NA,37,NA,NA,NA,NA,1,98,0,0,"No"
"Australia",2015,"AUS",1.43921665259925,60520,1.814,22.5076119973565,59.151,83.9228,15.4,100,81,100,17,63,1,0,1,14,"Yes"
"Australia",2016,"AUS",1.56194049810399,54100,1.752,22.9691602900349,59.381,83.9228,15.4,100,81,100,17,63,1,0,1,14,"Yes"
