"country","year","iso3c","population_growth","gni_per_capita","fertility_rate","old_age_dependency","female_lfpr","life_expectancy_at_birth_2023","SIGI_2023","new_mothers_cash_benefit_perc_2015-2023","education_female","financial_inclusion_female","unpaid_work_share_female","labour_part_female","mat_leave_14weeks","mat_leave_length","pat_leave_available","pat_leave_length","parental_leave"
"Norway",2015,"NOR",0.995084736958414,93440,1.72,24.7546547225283,62.684,83.3078,6.7,100,78,100,NA,62,1,0,1,0,"Yes"
"Norway",2016,"NOR",0.880969815359919,81870,1.71,25.1750035450575,62.539,83.3078,6.7,100,78,100,NA,62,1,0,1,0,"Yes"
"Norway",2017,"NOR",0.807673181884948,76230,1.62,25.6448861744119,61.883,83.3078,6.7,100,78,100,NA,62,1,0,1,0,"Yes"
"Norway",2018,"NOR",0.660090844249,80970,1.56,26.174151337689,61.842,83.3078,6.7,100,78,100,NA,62,1,0,1,0,"Yes"
"Norway",2019,"NOR",0.675061373245644,82430,1.53,26.6925311275947,62,83.3078,6.7,100,78,100,NA,62,1,0,1,0,"Yes"
"Norway",2020,"NOR",0.588757324043059,78610,1.48,27.2486384723804,62.007,83.3078,6.7,100,78,100,NA,62,1,0,1,0,"Yes"
"Norway",2021,"NOR",0.534772281874925,81770,1.55,27.8329580040245,61.663,83.3078,6.7,100,78,100,NA,62,1,0,1,0,"Yes"
"Norway",2022,"NOR",0.898395220610608,94290,1.41,28.2507532929826,61.596,83.3078,6.7,100,78,100,NA,62,1,0,1,0,"Yes"
"Norway",2023,"NOR",1.13818460655469,103170,1.4,28.5314380668326,61.765,83.3078,6.7,100,78,100,NA,62,1,0,1,0,"Yes"
"Switzerland",2015,"CHE",1.13833715247736,86810,1.54,26.600375792311,62.36,83.9536,9.9,100,81,99,17,63,1,98,0,0,"No"
"Switzerland",2016,"CHE",1.09203117387253,83360,1.54,26.8890664365194,62.935,83.9536,9.9,100,81,99,17,63,1,98,0,0,"No"
"Switzerland",2017,"CHE",0.933155888738653,80770,1.52,27.2172858671818,62.705,83.9536,9.9,100,81,99,17,63,1,98,0,0,"No"
"Switzerland",2018,"CHE",0.736633975172522,82470,1.52,27.5986069356356,63.007,83.9536,9.9,100,81,99,17,63,1,98,0,0,"No"
"Switzerland",2019,"CHE",0.713313668444329,83160,1.48,27.9908017758454,63.079,83.9536,9.9,100,81,99,17,63,1,98,0,0,"No"
"Switzerland",2020,"CHE",0.730676195047382,81740,1.46,28.3270521862764,62.636,83.9536,9.9,100,81,99,17,63,1,98,0,0,"No"
"Switzerland",2021,"CHE",0.765501039496593,89120,1.52,28.6818891760097,62.33,83.9536,9.9,100,81,99,17,63,1,98,0,0,"No"
"Switzerland",2022,"CHE",0.829927183900371,95600,1.39,29.247291506466,61.495,83.9536,9.9,100,81,99,17,63,1,98,1,14,"No"
"Switzerland",2023,"CHE",1.25678260643691,95750,1.33,29.9970830303786,62.294,83.9536,9.9,100,81,99,17,63,1,98,1,14,"No"
"Luxembourg",2015,"LUX",2.35995118136865,73530,1.47,20.5010534749461,54.247,82.2294,NA,100,75,98,NA,58,1,112,1,2,"Yes"
"Luxembourg",2016,"LUX",2.15531198799205,73730,1.41,20.5205073870163,53.829,82.2294,NA,100,75,98,NA,58,1,112,1,2,"Yes"
"Luxembourg",2017,"LUX",2.43097641776115,75800,1.39,20.5822680372578,54.208,82.2294,NA,100,75,98,NA,58,1,112,1,2,"Yes"
"Luxembourg",2018,"LUX",1.92883751398765,80120,1.38,20.6789276454,54.958,82.2294,NA,100,75,98,NA,58,1,112,1,2,"Yes"
"Luxembourg",2019,"LUX",1.9628449198635,79280,1.34,20.8171874347396,55.055,82.2294,NA,100,75,98,NA,58,1,140,1,14,"Yes"
"Luxembourg",2020,"LUX",1.66635867423273,80090,1.36,21.00396331365,55.927,82.2294,NA,100,75,98,NA,58,1,140,1,14,"Yes"
"Luxembourg",2021,"LUX",1.51834936706612,86850,1.38,21.2192484455258,56.93,82.2294,NA,100,75,98,NA,58,1,140,1,14,"Yes"
"Luxembourg",2022,"LUX",2.01666790212729,84200,1.31,21.4241669447754,56.998,82.2294,NA,100,75,98,NA,58,1,140,1,14,"Yes"
"Luxembourg",2023,"LUX",2.02002574712319,89650,1.25,21.8695758902872,57.213,82.2294,NA,100,75,98,NA,58,1,140,1,14,"Yes"
"Iceland",2015,"ISL",1.04194038662969,52790,1.8,20.6860455017119,72.718,82.6911,NA,100,79,100,NA,70,1,90,1,90,"Yes"
"Iceland",2016,"ISL",1.38808149583838,58720,1.74,21.0323876610713,72.936,82.6911,NA,100,79,100,NA,70,1,90,1,90,"Yes"
"Iceland",2017,"ISL",2.34558267643862,62450,1.71,21.1116323318588,72.526,82.6911,NA,100,79,100,NA,70,1,90,1,90,"Yes"
"Iceland",2018,"ISL",2.67814276922904,72600,1.71,21.1709299261262,71.531,82.6911,NA,100,79,100,NA,70,1,90,1,90,"Yes"
"Iceland",2019,"ISL",2.19893225826166,75160,1.74,21.3971787497354,71.381,82.6911,NA,100,79,100,NA,70,1,90,1,90,"Yes"
"Iceland",2020,"ISL",1.6230862512591,65870,1.72,21.8330197169271,69.293,82.6911,NA,100,79,100,NA,70,1,90,1,90,"Yes"
"Iceland",2021,"ISL",1.6393166402584,66940,1.82,22.3564503499439,69.148,82.6911,NA,100,79,100,NA,70,1,120,1,120,"Yes"
"Iceland",2022,"ISL",2.51377343254216,73620,1.589,22.7194546449249,70.57,82.6911,NA,100,79,100,NA,70,1,180,1,180,"Yes"
"Iceland",2023,"ISL",2.92687965279829,80760,1.59,23.0468824560131,70.368,82.6911,NA,100,79,100,NA,70,1,180,1,180,"Yes"
"U.S.",2015,"USA",0.797904713382564,56040,1.8435,21.5197559000692,55.938,79.3043,19.1,NA,95,97,15,57,0,0,0,0,"No"
"U.S.",2016,"USA",0.785625485688815,56990,1.8205,22.0373346516862,56.095,79.3043,19.1,NA,95,97,15,57,0,0,0,0,"No"
"U.S.",2017,"USA",0.692906252591617,59060,1.7655,22.5932962845748,56.395,79.3043,19.1,NA,95,97,15,57,0,0,0,0,"No"
"U.S.",2018,"USA",0.586433075122573,63230,1.7295,23.1963174833129,56.471,79.3043,19.1,NA,95,97,15,57,0,0,0,0,"No"
"U.S.",2019,"USA",0.515108555014533,66010,1.706,23.8484503417279,56.868,79.3043,19.1,NA,95,97,15,57,0,0,1,0,"Yes"
"U.S.",2020,"USA",0.408427566758519,64940,1.6415,24.5240791836459,55.704,79.3043,19.1,NA,95,97,15,57,0,0,1,0,"Yes"
"U.S.",2021,"USA",0.157317408951545,71490,1.664,25.1969129173767,55.632,79.3043,19.1,NA,95,97,15,57,0,0,1,0,"Yes"
"U.S.",2022,"USA",0.575744520494521,77060,1.6565,25.9509134829008,56.03,79.3043,19.1,NA,95,97,15,57,0,0,1,0,"Yes"
"U.S.",2023,"USA",0.83149318773707,80710,1.6165,26.8291040414794,56.602,79.3043,19.1,NA,95,97,15,57,0,0,1,0,"Yes"
"Qatar",2015,"QAT",8.58173306173289,80370,1.976,1.23629937131282,55.988,82.368,60.1,NA,75,NA,8,57,0,50,0,0,"No"
"Qatar",2016,"QAT",5.49972976958708,69170,1.856,1.27473901889581,56.79,82.368,60.1,NA,75,NA,8,57,0,50,0,0,"No"
"Qatar",2017,"QAT",2.73590293320866,60920,1.834,1.31841859894322,57.571,82.368,60.1,NA,75,NA,8,57,0,50,0,0,"No"
"Qatar",2018,"QAT",1.3621056096195,63410,1.756,1.34779205546161,58.369,82.368,60.1,NA,75,NA,8,57,0,50,0,0,"No"
"Qatar",2019,"QAT",2.21962210028933,65700,1.731,1.39086324092541,59.083,82.368,60.1,NA,75,NA,8,57,0,50,0,0,"No"
"Qatar",2020,"QAT",5.72571544841687,57730,1.675,1.49682254739773,59.452,82.368,60.1,NA,75,NA,8,57,0,50,0,0,"No"
"Qatar",2021,"QAT",-10.9274424335586,66970,1.605,1.56804512144536,60.582,82.368,60.1,NA,75,NA,8,57,0,50,0,0,"No"
"Qatar",2022,"QAT",5.90701824957099,71070,1.739,1.66876130835654,63.54,82.368,60.1,NA,75,NA,8,57,0,50,0,0,"No"
"Qatar",2023,"QAT",-0.0489708509014485,79430,1.729,1.88799451620225,63.257,82.368,60.1,NA,75,NA,8,57,0,50,0,0,"No"
"Ireland",2015,"IRL",0.944845307474728,52400,1.85,19.9937661279546,54.809,82.4118,14.3,100,81,100,NA,60,1,182,0,0,"No"
"Ireland",2016,"IRL",1.28405485082411,52940,1.81,20.4600912612172,55.533,82.4118,14.3,100,81,100,NA,60,1,182,0,0,"No"
"Ireland",2017,"IRL",1.34979886553997,54450,1.77,20.910234042169,55.589,82.4118,14.3,100,81,100,NA,60,1,182,0,0,"No"
"Ireland",2018,"IRL",1.45141079540844,59120,1.75,21.3530080731835,55.999,82.4118,14.3,100,81,100,NA,60,1,182,1,14,"No"
"Ireland",2019,"IRL",1.58865409604595,62520,1.71,21.798268341024,56.207,82.4118,14.3,100,81,100,NA,60,1,182,1,14,"No"
"Ireland",2020,"IRL",1.26378913010119,64550,1.63,22.2878772740152,55.055,82.4118,14.3,100,81,100,NA,60,1,182,1,14,"No"
"Ireland",2021,"IRL",1.39579966615221,74270,1.78,22.7326358963056,57.97,82.4118,14.3,100,81,100,NA,60,1,182,1,14,"Yes"
"Ireland",2022,"IRL",1.98101664069715,76660,1.54,23.1896759383277,59.228,82.4118,14.3,100,81,100,NA,60,1,182,1,14,"Yes"
"Ireland",2023,"IRL",1.80157102010543,78980,1.5,23.7491074924569,59.968,82.4118,14.3,100,81,100,NA,60,1,182,1,14,"Yes"
"Denmark",2015,"DNK",0.706423849687002,60350,1.71,29.0522368255997,56.837,81.9328,15.2,100,77,100,NA,60,1,126,1,14,"Yes"
"Denmark",2016,"DNK",0.780392644135167,57830,1.79,29.4676533467749,57.677,81.9328,15.2,100,77,100,NA,60,1,126,1,14,"Yes"
